,index,reward,done
0,0,0.0,False
1,1,0.0,False
2,2,0.0,False
3,3,0.0,False
4,4,0.0,False
5,5,0.0,False
6,6,0.0,False
7,7,0.0,False
8,8,0.0,False
9,9,0.0,False
10,10,0.0,False
11,11,0.0,False
12,12,0.0,False
13,13,0.0,False
14,14,0.0,False
15,15,0.0,False
16,16,0.0,False
17,17,0.0,False
18,18,0.0,False
19,19,0.0,False
20,20,0.0,False
21,21,0.0,False
22,22,0.0,False
23,23,0.0,False
24,24,0.0,False
25,25,0.0,False
26,26,0.0,False
27,27,0.0,False
28,28,0.0,False
29,29,0.0,False
30,30,0.0,False
31,31,0.0,False
32,32,0.0,False
33,33,0.0,False
34,34,0.0,False
35,35,0.0,False
36,36,0.0,False
37,37,0.0,False
38,38,0.0,False
39,39,0.0,False
40,40,0.0,False
41,41,0.0,False
42,42,0.0,False
43,43,0.0,False
44,44,0.0,False
45,45,0.0,False
46,46,0.0,False
47,47,0.0,False
48,48,0.0,False
49,49,0.0,False
50,50,0.0,False
51,51,0.0,False
52,52,0.0,False
53,53,0.0,False
54,54,0.0,False
55,55,0.0,False
56,56,0.0,False
57,57,0.0,False
58,58,0.0,False
59,59,0.0,False
60,60,0.0,False
61,61,0.0,False
62,62,0.0,False
63,63,0.0,False
64,64,0.0,False
65,65,0.0,False
66,66,0.0,False
67,67,0.0,False
68,68,0.0,False
69,69,0.0,False
70,70,0.0,False
71,71,0.0,False
72,72,0.0,False
73,73,0.0,False
74,74,0.0,False
75,75,0.0,False
76,76,0.0,False
77,77,0.0,False
78,78,0.0,False
79,79,0.0,False
80,80,0.0,False
81,81,0.0,False
82,82,0.0,False
83,83,0.0,False
84,84,0.0,False
85,85,0.0,False
86,86,0.0,False
87,87,0.0,False
88,88,0.0,False
89,89,0.0,False
90,90,0.0,False
91,91,0.0,False
92,92,0.0,False
93,93,0.0,False
94,94,0.0,False
95,95,0.0,False
96,96,0.0,False
97,97,0.0,False
98,98,0.0,False
99,99,0.0,False
100,100,0.0,False
101,101,0.0,False
102,102,0.0,False
103,103,0.0,False
104,104,0.0,False
105,105,0.0,False
106,106,0.0,False
107,107,0.0,False
108,108,0.0,False
109,109,0.0,False
110,110,0.0,False
111,111,0.0,False
112,112,0.0,False
113,113,0.0,False
114,114,0.0,False
115,115,0.0,False
116,116,0.0,False
117,117,0.0,False
118,118,0.0,False
119,119,0.0,False
120,120,0.0,False
121,121,0.0,False
122,122,0.0,False
123,123,0.0,False
124,124,0.0,False
125,125,0.0,False
126,126,0.0,False
127,127,0.0,False
128,128,0.0,False
129,129,0.0,False
130,130,0.0,False
131,131,0.0,False
132,132,0.0,False
133,133,0.0,False
134,134,0.0,False
135,135,0.0,False
136,136,0.0,False
137,137,0.0,False
138,138,0.0,False
139,139,0.0,False
140,140,0.0,False
141,141,0.0,False
142,142,0.0,False
143,143,0.0,False
144,144,0.0,False
145,145,0.0,False
146,146,0.0,False
147,147,0.0,False
148,148,0.0,False
149,149,0.0,False
150,150,0.0,False
151,151,0.0,False
152,152,0.0,False
153,153,0.0,False
154,154,0.0,False
155,155,0.0,False
156,156,0.0,False
157,157,0.0,False
158,158,0.0,False
159,159,0.0,False
160,160,0.0,False
161,161,0.0,False
162,162,0.0,False
163,163,0.0,False
164,164,0.0,False
165,165,0.0,False
166,166,0.0,False
167,167,0.0,False
168,168,0.0,False
169,169,0.0,False
170,170,0.0,False
171,171,0.0,False
172,172,0.0,False
173,173,0.0,False
174,174,0.0,False
175,175,0.0,False
176,176,0.0,False
177,177,0.0,False
178,178,0.0,False
179,179,0.0,False
180,180,0.0,False
181,181,0.0,False
182,182,0.0,False
183,183,0.0,False
184,184,0.0,False
185,185,0.0,False
186,186,0.0,False
187,187,0.0,False
188,188,0.0,False
189,189,0.0,False
190,190,0.0,False
191,191,0.0,False
192,192,0.0,False
193,193,0.0,False
194,194,0.0,False
195,195,0.0,False
196,196,0.0,False
197,197,0.0,False
198,198,0.0,False
199,199,0.0,False
200,200,0.0,False
201,201,0.0,False
202,202,0.0,False
203,203,0.0,False
204,204,0.0,False
205,205,0.0,False
206,206,0.0,False
207,207,0.0,False
208,208,0.0,False
209,209,0.0,False
210,210,0.0,False
211,211,0.0,False
212,212,0.0,False
213,213,0.0,False
214,214,0.0,False
215,215,0.0,False
216,216,0.0,False
217,217,0.0,False
218,218,0.0,False
219,219,0.0,False
220,220,0.0,False
221,221,0.0,False
222,222,100.0,False
223,223,0.0,False
224,224,0.0,False
225,225,0.0,False
226,226,0.0,False
227,227,0.0,False
228,228,0.0,False
229,229,0.0,False
230,230,0.0,False
231,231,0.0,False
232,232,0.0,False
233,233,0.0,False
234,234,0.0,False
235,235,0.0,False
236,236,0.0,False
237,237,0.0,False
238,238,0.0,False
239,239,0.0,False
240,240,0.0,False
241,241,0.0,False
242,242,0.0,False
243,243,0.0,False
